,ID,raw
0,36.0,9793.973974715578
1,12.0,10641.291794266974
2,86.0,6208.498674350432
3,83.0,9110.807381340754
4,27.0,9203.205749706844
5,65.0,10907.721103694947
6,45.0,9853.609643967246
7,5.0,6618.274672285595
8,77.0,9672.520441370114
9,28.0,8832.934253894506
10,46.0,10331.033725394367
11,85.0,6879.1783552717725
12,25.0,6985.256944780362
13,69.0,8184.774319336048
14,64.0,11338.468231208659
15,78.0,8815.418959701607
16,45.0,8849.703114880058
17,49.0,8228.064180186911
18,48.0,8893.335739150996
19,48.0,7060.35663565619
